#OTU ID	W1_CLT_1	W1_CLT_2	W1_CLT_3	W1_CLT_4	W1_CLT_5	W1_DSS_1	W1_DSS_2	W1_DSS_3	W1_DSS_4	W1_DSS_5	W1_LbGP_1	W1_LbGP_2	W1_LbGP_3	W1_LbGP_4	W1_LbGP_5	W2_CLT_1	W2_CLT_2	W2_CLT_3	W2_CLT_4	W2_CLT_5	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5	W3_CLT_1	W3_CLT_2	W3_CLT_3	W3_CLT_4	W3_CLT_5	W3_DSS_1	W3_DSS_2	W3_DSS_3	W3_DSS_4	W3_DSS_5	W3_LbGP_1	W3_LbGP_2	W3_LbGP_3	W3_LbGP_4	W3_LbGP_5
ASV_313	4	0	2	8	3	0	0	1	0	0	0	6	2	7	4	3	2	4	2	20	0	0	0	0	0	10	3	0	0	0	14	15	0	1	1	1	0	6	0	0	4	1	2	10	6
ASV_5428	1	0	1	0	0	365	0	0	0	0	1	4	0	1	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_11340	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1837	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	1	0	0
ASV_7690	5	1	1	6	0	21	119	38	128	8	65	15	85	67	95	1	1	2	6	3	82	74	122	115	30	8	8	26	0	10	5	3	1	5	11	106	1	1	4	226	8	3	0	1	3
ASV_3672	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ASV_7205	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2507	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_803	7	3	116	58	17	26	96	0	155	194	0	26	4	20	2	19	1	14	2	10	105	219	136	10	555	218	80	203	115	159	3	9	5	6	8	308	128	49	257	271	52	23	22	65	391
ASV_86	1	0	0	2	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	6	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	2
ASV_305	1	0	0	2	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	1	1	0	0	0	3	2	0	0	4	0	0	0	1	0	0	0	0	0	2	0	2	4	3	1	4
ASV_6697	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	7	0	0	1	0	0	1	4	1	1	0	1	0	1	0	1	0	0	1	3	1	2	0	2	0	5	2	3
ASV_1310	2	5	7	3	1	0	0	4	0	8	0	0	1	0	0	11	2	11	11	12	0	0	0	0	3	5	6	9	5	9	2	1	18	0	8	2	5	3	7	0	39	35	0	7	7
ASV_8256	4	2	7	2	0	0	2	2	5	3	3	7	4	4	6	1	2	0	5	6	1	1	2	5	5	1	9	7	1	4	1	8	10	4	3	35	1	6	13	12	2	6	11	4	1
ASV_3925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_82	2	0	0	1	0	0	0	3	0	0	2	0	0	0	1	2	0	1	0	0	9	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ASV_3969	2	17	8	2	1	37	1	1	0	2	0	1	156	25	73	30	0	89	0	221	0	0	1	0	2	6	3	75	1	103	0	42	0	255	1	0	0	0	40	0	7	1	0	0	0
