#OTU ID	W1_CLT_1	W1_CLT_2	W1_CLT_3	W1_CLT_4	W1_CLT_5	W1_DSS_1	W1_DSS_2	W1_DSS_3	W1_DSS_4	W1_DSS_5	W1_LbGP_1	W1_LbGP_2	W1_LbGP_3	W1_LbGP_4	W1_LbGP_5	W2_CLT_1	W2_CLT_2	W2_CLT_3	W2_CLT_4	W2_CLT_5	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5	W3_CLT_1	W3_CLT_2	W3_CLT_3	W3_CLT_4	W3_CLT_5	W3_DSS_1	W3_DSS_2	W3_DSS_3	W3_DSS_4	W3_DSS_5	W3_LbGP_1	W3_LbGP_2	W3_LbGP_3	W3_LbGP_4	W3_LbGP_5
ASV_135	2138	595	1739	2723	526	16	19	26	26	42	12	24	30	22	29	1533	665	171	179	238	26	21	28	28	23	45	1163	44	1232	22	835	201	2582	1108	1517	142	551	190	123	33	1159	2910	2860	4008	2161
ASV_311	570	97	267	301	44	2	4	6	5	8	4	6	9	3	3	460	118	338	916	158	3	5	4	7	6	3	22	9	15	4	213	740	290	754	664	9	26	4	33	5	72	189	328	20	26
ASV_5782	7	5	7	5	2	16	40	2	40	4	3	2	14	12	22	3	54	3	16	16	2	3	5	9	3	5	1	19	4	14	5	164	17	11	3	13	25	8	12	3	6	27	50	13	11
ASV_15	3020	8105	1919	756	551	791	493	320	767	238	1933	216	322	1066	420	2411	4731	316	4392	453	42	681	112	424	433	1929	1424	2382	399	2730	1093	2816	353	2715	85	898	370	1792	142	146	639	182	745	887	1987
ASV_3757	721	2	93	135	18	0	3	1	0	3	0	0	0	2	6	8	0	30	7	23	0	0	0	0	0	1	1	3	2	2	0	0	17	0	35	1	0	0	0	0	0	1	0	0	0
ASV_2068	217	185	187	73	77	1	1	1	0	7	2	3	6	5	0	34	85	73	66	56	0	2	1	2	23	23	92	4	50	5	33	86	88	33	79	16	42	106	60	5	360	307	326	110	180
ASV_155	1246	353	1017	1673	309	13	6	25	14	21	7	16	18	12	18	886	354	92	105	132	12	21	11	15	14	7	670	26	696	8	393	126	1290	587	827	68	278	101	77	19	688	1546	1478	2123	1111
ASV_39	2594	6774	1633	607	525	637	397	289	661	208	1549	185	273	866	358	2014	4123	259	3683	414	41	701	116	481	508	1606	1229	1968	352	2211	1202	2981	398	2873	85	979	397	1884	156	154	682	174	791	886	1990
ASV_29	3353	57	277	3729	14	141	248	11301	1167	2074	2049	170	824	1643	1539	2815	18	528	684	235	7146	7858	10686	6273	1427	68	734	58	102	57	174	1131	161	128	124	85	90	85	75	142	125	305	864	2405	1027
ASV_2655	28	67	49	1	47	3	0	7	1	0	1	3	2	1	1	5	97	3	12	4	1	2	2	0	2	13	23	164	2	123	11	2	26	88	0	6	20	0	0	0	2	9	125	156	154
ASV_2561	128	64	232	72	97	5	7	6	3	3	1	3	5	2	0	78	210	55	215	79	0	1	1	4	4	89	37	149	59	159	86	292	39	105	80	30	52	147	6	4	217	132	269	106	165
ASV_1387	116	177	110	205	238	12	11	39	7	120	5	73	84	100	70	58	26	147	27	242	3	1	1	4	6	27	42	15	11	19	33	116	66	2	41	16	214	241	122	4	24	89	206	53	187
ASV_913	182	177	149	47	280	0	0	4	2	2	0	7	9	9	12	58	183	140	29	131	4	2	1	4	3	2	3	2	11	1	1	9	11	6	10	237	760	246	18	30	266	237	373	398	246
ASV_2492	268	47	286	194	51	13	5	108	10	133	78	57	9	87	6	336	106	105	387	157	9	10	3	7	308	145	245	60	262	42	97	219	725	209	282	28	164	32	75	11	839	856	380	174	184
ASV_982	71	110	29	16	108	3	1	86	2	313	9	171	9	152	13	70	16	26	5	25	2	4	2	0	18	24	150	4	52	3	10	21	25	35	6	10	83	58	3	0	85	59	117	143	162
ASV_138	286	12	94	95	10	94	462	53	461	120	551	218	710	409	687	171	317	102	280	130	537	528	658	707	423	203	121	85	108	64	114	391	159	113	256	806	60	48	174	961	79	130	1014	91	230
ASV_277	1007	168	454	506	60	8	9	15	14	9	4	8	10	8	12	864	253	628	1590	296	9	9	10	10	16	21	32	11	18	8	415	1508	552	1417	1270	30	47	12	82	10	126	358	587	51	35
ASV_222	1751	307	880	1005	128	20	18	25	13	27	10	21	16	24	30	1490	440	1135	2865	540	13	13	11	23	20	20	58	20	40	11	659	2381	837	2210	1939	54	80	16	100	14	215	521	907	85	60
ASV_6408	28	26	43	33	9	0	0	2	1	1	0	1	0	4	0	42	5	74	17	62	0	0	0	0	2	16	22	28	5	46	0	0	1	2	1	9	24	11	26	0	1	3	6	1	3
ASV_2097	322	270	298	86	95	4	1	0	1	4	4	5	6	9	2	61	160	98	71	93	8	3	7	3	29	51	123	9	93	7	65	143	208	66	114	54	95	204	118	11	657	605	702	232	410
ASV_740	95	62	131	55	27	45	2	27	13	15	0	34	59	43	53	155	113	146	59	140	25	7	13	4	320	82	78	24	140	49	97	45	163	51	90	94	65	33	270	18	186	137	251	141	117
ASV_573	669	180	322	966	48	6	6	14	18	6	2	45	43	67	44	92	184	270	756	353	6	16	11	19	149	20	28	30	11	50	451	100	288	116	96	117	23	326	20	27	53	31	137	39	14
ASV_110	4059	1120	3080	5132	937	23	21	52	37	98	19	46	40	54	48	2794	1244	313	353	401	38	40	49	40	34	54	2228	50	2220	39	1236	379	3870	1742	2376	214	843	241	188	52	1855	4711	4328	6289	3374
ASV_1913	196	286	807	17	534	7	3	17	5	3	1	4	7	4	5	66	116	228	5	317	0	4	1	0	1	6	9	9	6	5	18	9	7	94	5	0	4	3	2	4	10	1	5	3	5
ASV_7	1701	19	150	1780	14	73	105	5601	540	1019	1113	93	414	848	802	1396	14	273	343	113	4001	4329	6067	3399	853	50	351	38	21	24	85	595	96	39	64	51	46	50	52	68	65	164	507	1319	557
ASV_378	613	256	988	725	251	6	23	146	21	861	12	181	29	32	16	616	39	313	494	258	10	4	7	6	57	403	353	315	295	92	158	58	173	342	422	21	170	84	13	5	507	385	287	426	543
ASV_5286	153	1	30	54	7	0	1	2	1	1	0	0	0	1	0	2	3	11	1	10	0	0	0	0	0	1	0	2	1	1	0	0	8	0	11	0	0	0	1	0	0	0	1	1	0
ASV_355	1335	292	643	1885	100	9	39	24	32	10	6	71	85	147	96	177	460	558	1396	722	8	28	11	38	302	33	64	65	12	81	813	210	481	163	183	190	60	554	49	47	92	66	199	71	30
ASV_700	132	110	208	73	25	50	2	75	9	31	3	34	123	55	101	246	183	225	107	169	24	27	20	6	524	108	129	58	235	96	130	90	361	105	145	124	116	65	460	44	275	251	426	194	181
ASV_1065	346	503	29	249	81	4	2	2	6	1	4	6	4	6	7	291	73	331	197	93	8	5	8	8	7	30	156	47	39	100	7	22	321	64	132	11	510	386	225	5	857	711	404	492	562
ASV_183	1780	518	1357	2208	418	20	14	21	15	28	14	17	35	29	9	1239	533	145	142	184	13	24	19	17	29	20	935	20	941	19	738	217	2112	1065	1419	115	465	156	135	23	1142	2647	2451	3553	1961
ASV_26	1138	3071	721	254	260	354	204	153	313	97	716	80	123	426	177	961	1857	120	1627	184	13	325	38	192	201	685	488	908	133	1086	500	1263	140	1212	34	447	187	830	72	70	295	80	335	358	856
ASV_1291	90	119	6	71	20	1	0	1	0	0	1	2	1	0	6	85	21	70	50	22	3	1	1	4	5	3	34	14	13	28	4	13	95	16	43	6	204	126	69	0	274	244	132	166	170
ASV_331	1077	500	1811	1239	548	22	18	257	33	1575	15	317	43	47	23	1250	84	592	899	533	13	17	7	14	104	691	617	545	465	158	255	122	253	628	590	28	247	125	16	19	816	652	469	609	773
ASV_983	94	70	67	29	151	3	0	1	0	0	0	6	6	6	5	25	102	76	3	56	5	5	2	4	1	1	2	0	8	0	1	2	5	6	3	116	432	158	11	14	136	92	222	238	122
ASV_547	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	2	0	0	1	0	0	2	0	0	0	0	0	0	2	0	2	2
ASV_760	179	224	74	16	239	1	4	165	11	626	14	291	8	311	31	82	34	46	14	45	3	4	5	2	44	46	310	5	121	3	6	37	31	72	10	16	125	100	11	2	143	124	221	268	270
ASV_1629	29	100	82	7	85	11	1	13	2	2	4	3	5	1	1	7	205	9	26	8	0	1	2	3	0	25	49	238	5	224	6	5	44	98	0	3	23	3	1	1	2	16	124	225	230
ASV_1235	158	188	142	37	420	7	5	29	4	10	2	20	2	6	7	46	612	106	52	115	2	1	6	11	138	56	52	73	89	99	207	388	181	305	99	41	111	205	13	5	285	189	474	387	462
ASV_2417	3	7	2	9	7	2	3	3	14	5	15	13	4	4	1	12	0	11	18	28	0	0	0	0	2	1256	854	40	1008	24	0	0	3	1	4	2	0	1	60	4	39	13	26	74	1
ASV_10268	1	4	1	1	0	52	1	22	6	2	19	19	12	32	9	2	1	1	4	1	0	0	0	0	0	1	4	0	4	1	0	0	0	0	0	0	6	4	0	0	1	10	1	0	1
ASV_1817	192	21	29	109	16	2	0	0	0	1	0	2	0	2	2	182	10	48	97	71	8	4	7	4	5	2	72	15	40	8	19	140	103	65	18	55	107	46	65	14	526	633	626	297	245
ASV_325	757	131	400	439	59	7	8	12	2	7	1	14	9	8	12	636	190	570	1275	210	4	8	11	10	7	3	21	9	18	5	416	1366	456	1234	1161	31	35	8	52	8	100	319	483	44	31
ASV_3	1976	35	135	2209	29	79	134	6657	641	1259	1413	90	497	907	921	1702	11	324	401	128	4723	5153	7154	4314	1054	47	472	60	46	35	106	728	132	75	97	49	75	65	68	70	96	199	549	1565	611
ASV_3046	55	36	124	54	43	2	1	2	0	5	0	4	8	3	0	34	70	18	129	34	0	0	5	4	0	35	22	56	29	75	40	145	39	51	25	15	45	79	3	1	113	94	137	53	85
ASV_100	783	72	271	223	29	282	1299	134	1332	292	1341	508	2025	1111	1847	499	954	286	789	396	1382	1347	1721	1858	1167	608	287	208	258	182	250	912	385	293	566	1987	128	164	417	2305	184	338	2390	243	638
ASV_158	246	114	53	214	10	178	2	254	51	74	14	175	398	229	306	884	31	827	270	627	94	36	85	16	1653	500	426	223	812	300	320	231	917	116	266	371	392	199	1373	134	799	763	1268	635	494
ASV_1606	98	203	56	142	13	5	190	34	140	4	7	91	461	413	403	175	10	10	256	22	94	131	72	67	310	116	177	537	81	319	93	70	45	59	33	106	31	184	13	39	22	41	136	36	115
ASV_3960	2	16	0	0	3	1	9	4	11	20	38	0	10	3	4	2	3	5	1	13	38	29	8	20	52	12	12	57	8	71	5	2	0	5	8	45	7	2	20	43	2	3	1	2	7
ASV_570	303	69	173	491	26	3	4	3	10	5	5	24	23	51	22	41	121	167	419	155	3	13	3	15	126	9	23	14	6	27	262	62	148	43	74	56	18	207	11	6	19	27	69	24	8
ASV_81	1141	3128	760	330	233	335	196	142	275	101	712	81	140	443	189	872	1867	116	1638	181	20	328	53	226	247	739	558	943	178	967	592	1459	174	1343	38	501	226	988	73	78	359	81	373	458	978
ASV_778	117	373	112	84	234	8	12	12	14	11	6	21	17	17	8	46	1210	37	80	41	9	4	7	10	39	362	1364	682	198	590	30	882	102	296	32	29	63	2138	11	16	69	31	40	71	60
ASV_696	259	50	176	213	22	14	5	368	18	175	7	12	19	13	11	603	97	504	444	489	15	11	8	7	63	456	125	555	365	792	28	134	804	80	222	46	357	152	58	13	1427	1227	154	196	134
ASV_3018	41	108	61	18	49	15	3	3	1	6	18	140	5	52	6	34	631	42	13	106	1	0	4	1	6	4	8	2	4	4	147	89	47	143	15	15	29	287	40	2	66	68	98	75	220
ASV_5195	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ASV_752	165	61	50	522	30	203	277	2574	420	278	489	1255	397	696	420	50	112	54	51	66	529	465	285	190	406	1182	1268	117	2480	147	29	42	400	18	652	17	774	60	1374	21	737	436	412	745	1682
ASV_1038	98	210	166	23	152	1	0	0	13	1	5	0	7	8	10	46	0	39	150	45	4	1	1	2	2	2	15	2	2	0	135	1765	615	32	5	1	1	9	3	3	36	162	7	22	4
ASV_444	793	157	334	1092	50	7	9	7	13	9	4	49	48	95	62	103	239	319	707	394	3	28	6	40	190	27	48	23	16	51	539	133	310	102	145	125	36	373	15	26	53	55	159	43	22
ASV_1704	19	93	60	1	68	2	0	39	3	4	0	4	4	34	1	2	29	0	2	0	2	1	0	1	5	2	1	1	1	4	0	0	1	21	2	0	565	46	5	0	46	18	11	22	4
ASV_5291	4	68	16	6	4	2	1	6	0	5	4	9	15	36	5	5	20	4	1	21	1	0	0	0	1	8	1	0	4	6	1	1	10	12	9	0	71	28	8	1	3	5	5	1	9
ASV_11717	4	12	0	0	7	1	0	0	0	0	0	2	0	0	0	11	0	6	13	1	0	1	0	0	0	0	0	0	0	0	24	13	2	13	6	0	31	17	0	0	1	39	2	1	14
ASV_3327	10	5	1	2	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	4	5	1	0	2	4	4	0	14	4	2	3	1
ASV_5100	306	2	37	70	7	0	1	1	1	0	2	0	0	1	0	7	2	7	0	14	0	0	0	1	0	1	0	0	0	0	0	0	6	0	21	0	0	0	0	0	1	0	0	0	0
ASV_5814	19	10	17	53	8	246	993	279	1064	58	447	119	742	562	879	17	9	29	30	32	587	487	686	606	184	76	41	158	33	107	7	8	31	24	70	916	16	7	37	1477	28	19	42	40	37
ASV_123	107	80	428	1138	50	90	27	95	53	329	87	549	25	152	9	1586	14	2392	2230	2635	19	12	10	28	476	415	971	352	698	341	218	90	1251	40	543	47	248	175	726	54	436	290	872	47	798
ASV_1528	128	249	142	33	115	45	2	4	2	26	7	158	23	78	9	96	1874	113	45	198	4	1	1	1	4	11	10	3	7	4	162	156	100	179	26	35	31	512	46	11	118	143	213	175	362
ASV_1129	221	647	466	135	853	5	4	6	1	1	0	7	3	4	9	145	602	31	244	28	3	0	3	4	3	4	8	4	7	11	190	48	45	339	39	1	1	141	4	4	5	1	5	5	3
ASV_415	109	9	72	85	4	5	8	13	21	36	7	52	3	56	11	136	25	193	184	117	3	4	7	6	7	89	246	4	24	19	95	65	697	70	241	22	121	94	680	8	443	426	480	233	69
ASV_1319	372	50	62	163	25	4	1	1	2	2	2	0	4	7	3	370	16	113	204	164	17	9	7	13	21	6	143	27	95	27	27	235	153	144	19	114	157	60	147	21	776	1086	1080	495	456
ASV_615	88	34	26	342	15	112	126	1093	180	116	244	470	85	248	103	22	71	16	16	37	151	116	66	26	168	479	510	16	860	29	13	11	160	8	312	11	283	25	496	3	281	165	116	241	769
ASV_4204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_71	303	20	104	103	25	101	575	74	581	138	587	211	976	437	773	203	433	128	345	137	413	486	545	606	358	280	115	101	126	83	86	345	127	80	220	716	43	59	151	772	60	105	831	70	209
ASV_1067	182	6	8	12	0	2	3	3	6	3	1	3	5	4	3	228	321	128	366	982	0	3	1	4	5	5	5	9	4	3	108	153	122	1131	144	1	1	1	4	4	3	5	1	4	0
ASV_3868	15	3	4	8	1	63	125	3	85	66	4	5	4	2	6	7	0	4	12	18	11	5	18	5	21	45	50	277	41	282	17	65	15	25	21	1197	48	105	25	924	33	49	893	211	546
ASV_2298	54	0	22	260	1	1	0	4	0	0	1	2	1	0	2	50	1	61	34	77	4	1	3	2	4	0	1	1	0	0	1	7	148	90	278	5	0	2	0	3	2	1	1	2	0
ASV_2827	28	56	36	1	29	3	0	1	2	0	1	1	0	2	0	98	3	6	406	5	1	2	4	1	3	0	3	0	5	0	5	5	42	40	102	1	97	102	0	3	356	155	13	49	4
ASV_612	74	10	51	37	0	4	11	6	21	28	8	40	2	28	5	81	13	137	119	49	5	5	4	7	3	47	156	8	7	13	73	63	567	41	209	24	114	75	587	7	372	393	405	189	58
ASV_827	179	54	139	289	27	5	7	261	16	143	2	5	12	18	12	439	57	387	324	414	8	7	12	7	83	333	87	449	243	556	25	101	624	49	197	39	268	83	50	8	1213	982	115	155	119
ASV_24	160	130	121	167	107	7034	8626	371	9106	69	1446	2561	3248	3181	3831	84	130	3348	85	1930	123	703	405	1142	155	710	285	198	158	225	9	7	7	7	17	90	33	16	10	46	9	9	6	8	7
ASV_3636	5	23	8	21	10	11	0	4	1	1	4	54	0	137	2	13	42	13	1	49	1	0	6	1	28	10	20	47	19	28	19	5	7	12	38	2	17	2	13	4	4	12	29	20	127
ASV_516	6	9	3	12	13	1	4	6	17	6	15	10	2	3	3	92	1	55	305	45	6	3	6	6	368	34	186	1197	117	919	9	7	99	14	1520	27	14	24	1298	17	20	10	11	8	9
ASV_18	719	12	69	800	4	45	70	2632	265	483	544	47	213	337	364	682	7	109	146	51	1801	2080	2773	1577	354	13	183	17	21	16	45	267	38	20	43	26	24	17	12	23	39	78	220	555	279
ASV_1903	85	20	19	44	6	4	0	0	0	2	0	0	1	0	2	93	0	30	48	39	3	2	0	3	3	0	45	10	21	5	4	67	45	54	13	25	58	21	72	6	297	312	332	140	127
ASV_565	295	13	168	1072	14	108	64	57	148	5	89	296	322	396	259	360	206	549	179	1196	7	12	17	3	5	1143	470	21	23	12	647	3004	144	80	25	13	71	626	14	9	160	151	548	652	701
ASV_1752	71	0	1	1	0	0	0	0	0	0	1	0	0	0	0	63	60	23	72	257	0	0	1	1	1	0	3	1	2	0	37	54	25	341	50	1	3	3	0	1	3	1	0	0	1
ASV_806	216	221	164	73	313	3	2	4	0	2	0	7	9	8	13	67	198	173	39	174	4	2	4	5	1	1	8	2	13	1	3	7	12	7	17	272	858	279	14	34	254	218	424	411	267
ASV_713	180	238	75	29	300	5	4	168	12	717	27	336	14	313	34	110	40	53	10	48	2	0	0	1	49	60	312	3	118	6	8	46	49	58	3	23	172	104	13	3	150	145	268	254	323
ASV_2335	90	135	324	9	255	5	5	2	3	3	0	2	3	5	3	14	66	135	3	139	0	0	1	1	0	1	5	1	3	0	12	0	6	50	2	0	1	0	4	1	2	2	1	2	1
ASV_4419	368	3	67	80	11	0	1	1	2	1	0	0	0	3	1	8	4	17	1	9	0	0	0	0	0	2	2	1	4	3	0	0	9	0	21	0	0	0	0	0	0	0	0	0	0
ASV_1705	17	72	433	5	479	4	2	0	1	0	1	0	3	1	1	39	1	39	0	29	0	2	0	3	2	2	42	4	3	1	215	65	183	2	15	7	1	10	45	6	61	21	23	13	7
ASV_2239	83	8	78	47	23	9	1	38	0	85	32	37	6	40	3	86	57	29	78	41	1	0	3	2	161	35	83	22	92	7	34	47	172	56	94	10	53	12	13	4	259	209	130	45	50
ASV_74	474	29	171	141	32	163	743	93	769	164	860	299	1225	663	1105	279	539	165	480	261	815	864	1027	1106	632	362	147	130	164	118	140	501	226	173	348	1180	76	89	265	1352	101	213	1543	139	326
ASV_2734	26	433	13	10	229	0	1	22	0	1	0	1	0	2	0	3	4	5	2	0	2	0	0	0	1	3	31	1	8	0	8	3	0	4	4	0	40	243	0	1	51	23	28	8	3
ASV_2928	85	45	135	43	56	3	1	1	5	1	0	2	3	1	0	45	75	30	113	52	2	0	2	4	3	48	19	64	36	89	61	172	18	60	43	19	38	94	6	3	119	78	153	50	117
ASV_1045	23	110	24	23	62	2	2	4	2	1	3	3	6	6	2	12	343	13	25	11	1	3	3	4	26	77	346	170	47	162	5	282	32	91	15	11	11	650	6	4	18	11	13	26	10
ASV_1753	56	73	61	87	160	7	3	5	1	44	4	41	30	26	37	38	15	62	4	116	0	0	1	0	3	20	22	3	5	11	17	82	32	0	16	14	106	159	79	3	13	40	92	32	92
ASV_2850	23	5	102	6	189	4	2	4	0	4	4	0	2	0	1	480	0	41	2	7	0	0	0	0	0	0	2	0	1	2	1	4	50	2	0	9	188	3	213	2	2	154	31	12	5
ASV_1174	68	126	32	11	127	1	2	127	9	498	10	274	4	212	21	54	15	22	8	16	1	2	2	1	25	42	124	3	98	2	4	19	29	38	5	12	126	77	16	0	149	107	186	200	240
ASV_674	341	434	125	45	478	6	5	312	23	1229	45	590	28	544	67	197	77	79	13	93	1	7	3	2	84	88	557	11	235	22	22	78	77	125	14	32	269	140	17	1	235	196	436	425	475
ASV_362	2	3	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ASV_1271	49	10	30	51	7	6	5	5	8	5	3	23	1	25	5	45	6	111	65	45	1	1	1	1	0	22	65	5	4	1	48	31	424	36	176	4	28	41	346	4	112	141	183	83	48
ASV_477	340	162	511	388	158	9	1	79	10	464	1	106	5	15	11	394	16	193	240	130	2	1	4	2	39	200	195	158	155	57	86	36	67	217	219	5	79	49	8	6	314	223	142	192	260
ASV_318	83	118	30	51	32	20	12	974	95	182	20	466	8	33	9	137	11	569	45	731	21	259	46	73	733	5	95	10	424	6	2	10	486	13	514	313	106	6	918	274	53	11	53	291	363
ASV_877	2	0	1	3	0	0	1	2	2	0	2	0	3	1	1	0	0	3	0	2	0	0	0	0	0	8	4	0	0	0	4	21	0	0	0	0	0	0	0	0	2	0	1	3	0
ASV_1424	164	214	547	26	422	7	1	4	1	5	6	3	9	7	1	47	87	209	5	274	0	0	0	0	2	5	5	4	8	0	9	1	3	67	2	2	0	1	0	1	1	5	0	3	2
ASV_1508	71	2	53	329	1	51	26	10	23	0	29	68	72	127	53	74	60	105	41	187	2	1	6	1	2	360	139	4	8	2	151	947	38	23	10	7	14	147	3	2	69	43	149	206	200
ASV_2426	178	134	159	27	53	1	1	0	0	2	2	0	2	4	3	41	85	56	57	66	3	10	0	7	24	34	58	3	52	3	35	75	111	33	90	37	65	94	49	5	360	291	340	171	212
ASV_493	506	223	777	593	204	7	8	106	7	694	6	155	11	24	11	519	30	201	360	199	8	2	4	5	66	307	300	247	211	88	186	64	167	312	373	13	126	65	12	6	462	360	289	334	443
ASV_6301	2	2	2	0	2	4	9	2	6	2	0	0	8	0	4	0	15	0	7	4	1	4	9	0	0	0	0	3	0	8	0	99	2	2	4	4	15	5	5	3	6	0	21	2	5
ASV_4858	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0
ASV_6056	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_663	158	7	86	679	4	61	43	27	81	4	50	159	205	235	156	233	137	350	113	674	1	4	10	2	1	634	296	5	16	5	401	1937	74	55	13	9	49	409	5	12	99	95	295	368	384
ASV_3221	1	1	3	0	5	326	464	19	593	2	61	125	130	94	123	5	1	6	4	4	2	61	14	61	6	26	7	4	1	5	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0
ASV_470	222	26	105	126	1	8	16	30	45	78	16	123	13	67	15	207	16	306	282	150	13	7	8	11	14	139	353	21	25	15	219	141	1466	195	514	43	311	210	1361	18	918	952	971	531	192
ASV_900	177	351	295	34	304	5	3	2	15	0	4	0	18	33	11	89	7	77	407	81	7	2	5	7	6	9	37	1	3	2	227	3001	1092	67	12	1	5	8	8	6	93	281	8	40	9
ASV_233	19	7	14	20	7	1	0	3	0	0	2	0	0	0	0	12	3	5	4	2	0	0	0	0	2	0	20	0	13	1	11	3	35	14	16	6	8	5	1	1	9	37	18	21	11
ASV_1999	47	11	193	1	369	1	2	1	2	0	5	4	2	5	2	940	1	68	10	9	0	2	0	3	4	1	9	7	1	4	3	0	62	6	2	8	294	10	382	2	2	221	48	15	2
ASV_601	133	364	393	46	322	4	3	2	7	11	2	56	7	14	8	61	507	193	26	220	5	5	8	8	9	16	178	8	27	4	138	140	66	39	41	60	64	292	350	11	182	375	802	107	867
ASV_978	150	235	83	19	261	11	12	288	14	1021	26	518	25	461	56	126	44	51	7	34	2	3	3	3	43	87	237	11	228	8	19	27	29	52	5	24	227	130	10	2	218	185	335	322	430
ASV_1147	199	297	6	155	43	1	2	0	3	4	0	2	5	1	1	170	42	188	123	48	3	0	1	2	4	20	72	26	18	78	9	14	234	47	94	5	288	261	148	6	550	428	234	329	340
ASV_2750	2	0	3	0	0	0	0	2	0	1	0	1	0	3	0	3	0	2	1	0	0	0	0	0	1	2	1	1	5	0	1	0	7	1	1	0	1	0	2	0	12	3	2	1	0
ASV_223	69	44	248	615	23	35	15	49	36	179	45	329	20	99	12	953	7	1400	1205	1617	8	6	10	19	327	273	567	178	439	195	120	46	815	20	399	34	133	123	388	28	316	177	587	40	561
ASV_6430	30	103	349	18	94	2	0	5	3	2	2	1	1	4	5	13	26	105	4	75	0	0	0	0	0	3	3	0	0	0	17	23	57	4	1	1	1	0	1	0	1	0	0	1	0
ASV_1814	212	31	33	100	15	0	0	7	0	0	2	3	0	2	1	227	9	68	107	93	3	4	9	5	4	1	89	16	42	20	30	135	99	95	23	67	100	46	85	16	559	641	717	275	284
ASV_4599	1	0	0	0	0	3	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2927	18	52	27	0	27	0	0	1	2	0	1	3	0	0	1	62	1	1	288	1	1	1	0	0	4	1	3	0	5	1	2	2	48	28	89	2	81	52	0	1	247	88	8	41	2
ASV_443	13	2	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	1	0	4	0	1	0	0	0	0	0	2	2	7	2	0
ASV_867	51	70	105	46	10	27	3	31	4	9	1	18	45	28	35	58	56	86	48	63	4	6	9	2	354	56	41	33	55	17	31	18	86	14	55	30	23	19	172	14	74	81	174	45	63
ASV_507	52	128	565	137	177	14	32	12	13	19	4	17	134	144	80	40	65	42	71	43	2	2	3	3	8	3	7	7	5	2	183	186	98	91	67	14	90	22	204	12	114	336	11	12	6
ASV_2074	69	1	44	327	2	1	0	4	0	1	0	1	3	2	0	52	0	49	45	108	2	1	3	3	1	0	4	1	0	1	9	8	181	99	402	1	0	0	0	0	2	4	1	6	1
ASV_217	229	270	58	180	70	55	33	2178	226	375	58	982	28	62	15	323	13	1304	106	1662	30	422	61	135	1328	15	173	15	906	12	9	16	821	16	800	545	134	9	1702	446	69	54	107	425	696
ASV_1917	109	3	49	445	1	0	1	0	1	0	1	0	4	4	1	95	0	86	57	162	2	3	0	1	1	0	2	0	2	1	9	13	274	151	564	0	4	0	2	3	4	2	5	7	1
ASV_741	366	342	309	113	534	6	4	7	4	6	3	22	25	27	28	94	410	308	52	302	3	10	4	3	6	3	10	3	19	1	8	4	16	13	11	433	1315	424	32	50	405	347	661	730	433
ASV_69	6	0	1	2	0	0	0	2	0	2	2	0	0	1	1	1	0	1	0	0	5	8	5	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	1	1	0
ASV_252	118	126	26	106	35	33	25	1239	119	204	32	536	13	42	7	158	6	651	44	842	22	252	66	85	847	6	98	6	484	8	3	7	559	10	495	350	77	8	1088	323	52	19	63	290	453
ASV_750	51	176	182	24	162	3	5	1	2	3	1	7	2	5	4	35	236	87	7	130	4	5	6	3	5	7	93	2	7	3	67	55	43	24	22	27	23	153	168	9	89	208	388	46	443
ASV_4343	18	2	5	60	1	0	2	5	3	1	17	48	41	72	46	145	9	215	15	454	0	1	0	1	0	7	5	1	11	2	134	358	9	7	2	3	30	76	0	1	6	6	43	39	25
