function	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
RXN-14116	3099.17	283.0900000000001	484.66	3603.0	209.0	9697.67	18711.5	15271.25	21286.25	2842.25	8706.83	6022.42	17846.33	13333.5	19344.91	2535.17	256.42	3438.75	859.08	2325.58	18225.59	18337.08	22494.25	19279.16	5065.59	1801.33	1485.67	4083.16	703.58	2537.75	292.5	1091.83	560.8399999999998	380.83	797.5	10138.0	312.67	227.5	515.5	17740.25	507.0	521.5	1130.25	2550.0	1337.42
RXN-14117	15104.67	23560.76	9731.74	16317.42	2704.67	19343.42	28980.0	17093.17	32979.25	4918.92	15844.91	11899.09	22979.66	21201.25	25228.74	18415.17	14977.17	18234.08	22125.16	19176.58	18586.51	21361.91	23408.5	22099.24	8534.76	12441.58	11754.92	12076.24	6036.91	11498.25	7173.17	18944.58	9373.51	10461.83	4893.17	13574.25	3243.42	8586.17	3858.58	18495.08	5946.58	5670.42	11203.33	11261.0	14581.17
RXN-14118	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-14120	13269.17	22547.09	6398.66	6203.0	1942.0	12560.67	23298.5	16586.25	26685.25	4254.25	17295.83	7908.42	23905.33	19014.5	25118.91	10314.17	15845.42	4980.75	14671.08	4593.58	21620.59	23784.08	26954.25	25125.16	9163.59	8440.33	6028.67	11124.16	2489.58	10331.75	4439.5	12291.83	2636.84	9612.83	2507.5	18040.0	1863.67	6312.5	2021.5	23812.25	3023.0	1892.5	9396.25	5834.0	8871.42
RXN-14124	438.5	241.42	264.33	682.67	187.67	9581.0	18522.5	6215.92	20381.25	1181.92	6955.83	5886.42	17175.33	12044.5	18093.58	261.5	238.75	3015.08	320.08	2148.25	12130.92	11693.08	13307.25	13933.83	3797.92	1740.0	891.0	4023.83	637.58	2491.75	151.17000000000004	153.5	414.17	290.5	684.17	10066.0	230.0	154.17000000000004	445.83	17635.58	396.33	265.17	400.58	535.0	489.75
RXN-14126	438.5	241.42	264.33	682.67	187.67	9581.0	18522.5	6215.92	20381.25	1181.92	6955.83	5886.42	17175.33	12044.5	18093.58	261.5	238.75	3015.08	320.08	2148.25	12130.92	11693.08	13307.25	13933.83	3797.92	1740.0	891.0	4023.83	637.58	2491.75	151.17000000000004	153.5	414.17	290.5	684.17	10066.0	230.0	154.17000000000004	445.83	17635.58	396.33	265.17	400.58	535.0	489.75
RXN-14136	23058.0	46503.09	16683.16	17563.84	5042.34	25433.0	40507.5	22942.34	46853.0	5940.34	26232.41	21768.09	55803.16	38058.75	52994.91	24225.5	28880.0	18536.91	33703.41	19625.5	38743.84	39065.41	41175.5	41513.91	16532.84	17541.0	16783.75	27382.16	9195.16	24803.5	10767.84	23286.5	13354.59	20403.25	7457.34	26744.25	5228.25	13825.84	5057.91	36677.66	9619.16	9251.84	15457.66	16032.5	21920.75
RXN-14142	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-14143	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-14147	2464.5	275.67	970.33	2247.67	208.67	7588.5	11929.0	840.9200000000002	12474.75	831.42	5051.08	4134.67	8859.83	6494.75	8794.33	1737.0	2722.75	4170.83	2287.83	4145.25	3425.42	4169.33	4617.75	5789.58	2869.92	3682.5	1604.25	741.83	868.58	680.75	1469.67	6423.5	1142.42	801.75	1497.17	5047.75	439.75	1226.67	1066.58	5671.08	675.3299999999998	1066.17	6711.58	1381.5	2371.5
RXN-14148	22.5	26.75	31.0	38.0	26.0	444.0	173.5	2727.25	483.25	290.25	543.5	2113.75	6363.0	2294.5	4639.25	30.5	28.75	50.75	23.75	35.25	4709.25	3782.75	4592.25	3581.5	1404.25	144.0	167.0	1668.5	115.25	1240.75	26.5	35.5	63.5	44.5	65.5	60.0	58.0	40.5	82.5	72.25	98.0	61.5	56.25	67.0	105.75
RXN-14160	23058.0	46503.09	16683.16	17563.84	5042.34	25433.0	40507.5	22942.34	46853.0	5940.34	26232.41	21768.09	55803.16	38058.75	52994.91	24225.5	28880.0	18536.91	33703.41	19625.5	38743.84	39065.41	41175.5	41513.91	16532.84	17541.0	16783.75	27382.16	9195.16	24803.5	10767.84	23286.5	13354.59	20403.25	7457.34	26744.25	5228.25	13825.84	5057.91	36677.66	9619.16	9251.84	15457.66	16032.5	21920.75
RXN-14161	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
