sequence	16S_rRNA_Count	metadata_NSTI
OTU000984	1	0.55373
OTU000985	1	0.565008
OTU000986	1	0.632117
OTU000987	1	0.303238
OTU000988	1	0.22738200000000003
OTU000989	1	0.371193
OTU000990	1	0.34963
OTU000991	1	0.042135
OTU000992	5	0.21111999999999997
OTU000993	4	0.715607
OTU000994	1	0.650456
OTU000995	1	0.22471999999999998
OTU000996	1	0.35284499999999996
OTU000997	1	0.8174319999999999
OTU000998	1	0.20256400000000002
OTU000999	1	0.6551130000000001
OTU001000	2	0.920373
OTU001001	1	0.631777
OTU001002	1	0.282663
OTU001003	1	1.1363159999999999
OTU001004	2	0.101005
OTU001005	1	0.739147
OTU001006	1	0.365104
OTU001007	1	2.591257
OTU001008	1	0.125749
OTU001009	7	0.461847
OTU001010	1	0.760668
OTU001011	1	0.11283299999999999
OTU001012	4	0.5033810000000001
OTU001013	1	0.17268699999999998
OTU001014	1	1.402954
OTU001015	1	0.170079
OTU001016	1	0.19980699999999998
OTU001017	1	0.559345
OTU001018	1	0.5292319999999999
OTU001019	2	1.253036
OTU001020	4	0.8692770000000001
OTU001021	1	0.551208
OTU001022	1	0.522972
OTU001023	1	0.038363999999999995
OTU001024	1	0.16902999999999999
OTU001025	1	0.477946
OTU001026	1	0.335002
OTU001027	1	0.43273599999999995
OTU001028	1	0.975505
OTU001029	1	0.061079999999999995
OTU001030	1	0.5913229999999999
OTU001031	1	0.37663800000000003
OTU001032	1	0.108796
OTU001033	1	0.442554
OTU001034	1	0.047525
OTU001035	1	0.309181
OTU001036	1	0.597287
OTU001037	1	0.374693
OTU001038	2	0.351302
OTU001039	4	0.770899
OTU001040	2	0.311031
OTU001041	1	1.128592
OTU001042	1	1.651848
OTU001043	1	0.710862
OTU001044	4	0.43888
OTU001045	1	0.5022770000000001
OTU001046	1	0.9625969999999999
OTU001047	1	0.182588
OTU001048	1	0.8697010000000001
OTU001049	1	0.44688999999999995
OTU001050	1	0.559756
OTU001051	1	0.054652
OTU001052	1	0.325044
OTU001053	1	0.5391239999999999
OTU001054	1	1.068838
OTU001055	1	0.43799399999999994
OTU001056	1	0.297987
OTU001057	1	0.102172
OTU001058	1	0.085326
OTU001059	1	1.349178
OTU001060	1	0.83025
OTU001061	1	0.166433
OTU001062	1	0.521343
OTU001063	1	0.123485
OTU001064	1	1.208944
OTU001065	6	0.044993
OTU001066	2	0.302568
OTU001067	1	0.433091
OTU001068	1	0.911643
OTU001069	1	0.440299
OTU001070	1	0.71704
OTU001071	1	0.714593
OTU001072	1	1.095259
OTU001073	1	0.6773399999999999
OTU001074	4	0.46725500000000003
OTU001075	1	0.174676
OTU001076	1	0.733348
OTU001077	1	1.499867
OTU001078	2	0.832111
OTU001079	1	0.693925
OTU001080	1	0.088102
OTU001081	1	0.362086
OTU001082	1	0.212639
OTU001083	4	0.672667
OTU001084	1	0.612374
OTU001085	1	0.168045
OTU001086	4	0.9046219999999999
OTU001087	1	1.030908
OTU001088	1	0.246545
OTU001089	2	0.516309
OTU001090	1	0.308711
OTU001091	3	0.004503
OTU001092	1	0.751867
OTU001093	1	0.031333
OTU001094	2	0.8552649999999999
OTU001095	1	0.164489
OTU001096	3	0.368151
OTU001097	1	0.7559520000000001
OTU001098	1	1.035749
OTU001099	2	0.56592
OTU001100	4	0.367584
OTU001101	1	0.023763999999999997
OTU001102	1	0.22994099999999998
OTU001103	1	0.5807899999999999
OTU001104	1	0.8762459999999999
OTU001105	1	0.867785
OTU001106	1	0.550974
OTU001107	2	0.515092
OTU001108	1	0.393694
OTU001109	1	0.119348
OTU001110	1	0.817733
OTU001111	1	0.370729
OTU001112	4	0.52618
OTU001113	1	0.52895
OTU001114	1	0.430465
OTU001115	1	0.342174
OTU001116	1	0.18295
OTU001117	1	0.30472899999999997
OTU001118	1	1.355841
OTU001119	1	0.48514700000000005
OTU001120	4	0.8673069999999999
OTU001121	1	0.6545770000000001
OTU001122	1	0.22270700000000002
OTU001123	1	0.347125
OTU001124	2	0.527195
OTU001125	1	0.026912000000000002
OTU001126	2	0.770107
OTU001127	1	0.587846
OTU001128	1	0.868822
OTU001129	1	0.45355
OTU001130	4	0.288473
OTU001131	4	0.607751
OTU001132	1	0.537266
OTU001133	1	0.6752229999999999
OTU001134	1	0.2996
OTU001135	1	0.12928399999999998
OTU001136	1	0.277873
OTU001137	1	0.41672600000000004
OTU001138	1	1.145419
OTU001139	1	0.653058
OTU001140	1	0.676776
OTU001141	2	0.200812
OTU001142	1	0.101637
OTU001143	1	0.520333
OTU001144	1	0.268204
OTU001145	1	0.802035
OTU001146	1	0.17268699999999998
OTU001147	1	1.074883
OTU001148	1	0.658562
OTU001149	1	0.7320979999999999
OTU001150	1	0.608727
OTU001151	1	0.24149299999999999
OTU001152	1	0.9931200000000001
OTU001153	1	0.48208599999999996
OTU001154	4	0.769746
OTU001155	1	1.1201219999999998
OTU001156	1	0.305164
OTU001157	4	0.214128
OTU001158	4	0.462189
OTU001159	4	0.759734
OTU001160	2	0.154576
OTU001161	1	0.054037
OTU001162	4	0.6295430000000001
OTU001163	4	0.8223370000000001
OTU001164	1	0.458975
OTU001165	1	0.777558
OTU001166	1	0.23344
OTU001167	1	0.479921
OTU001168	1	0.46223000000000003
OTU001169	1	0.482249
OTU001170	4	0.853506
OTU001171	1	1.421467
OTU001172	1	0.331523
OTU001173	1	0.135212
OTU001174	1	2.074362
OTU001175	1	0.657647
OTU001176	4	0.599413
OTU001177	1	0.746562
OTU001178	1	0.43471099999999996
OTU001179	1	0.437411
OTU001180	1	0.175029
OTU001181	1	0.5688840000000001
OTU001182	4	0.683264
OTU001183	4	0.890908
OTU001184	4	1.052827
OTU001185	1	1.40346
OTU001186	1	0.227831
OTU001187	1	0.748482
OTU001188	1	1.523212
OTU001189	1	0.112345
OTU001190	1	0.356376
OTU001191	4	0.155743
OTU001192	1	0.7117
OTU001193	4	0.882093
OTU001194	1	1.3487850000000001
OTU001195	1	0.112756
OTU001196	1	0.19859300000000002
OTU001197	1	1.328143
OTU001198	4	0.497746
OTU001199	4	1.054078
OTU001200	1	0.839363
OTU001201	8	0.30145700000000003
OTU001202	1	0.405225
OTU001203	4	0.6029760000000001
OTU001204	1	0.427029
OTU001205	1	0.893809
OTU001206	1	0.571951
OTU001207	5	0.366798
OTU001208	1	0.6011479999999999
OTU001209	1	0.9924139999999999
OTU001210	5	0.440957
OTU001211	1	1.090982
OTU001212	1	1.0219850000000001
OTU001213	1	0.5602060000000001
OTU001214	1	1.209315
OTU001215	1	0.821734
OTU001216	2	0.360415
OTU001217	1	0.542547
OTU001218	1	0.51572
OTU001219	1	0.5443720000000001
OTU001220	1	0.605599
OTU001221	1	0.5335439999999999
OTU001222	1	1.607599
OTU001223	2	0.863733
OTU001224	8	0.178366
OTU001225	1	0.511618
OTU001226	1	0.054612
OTU001227	1	0.609396
OTU001228	1	1.075912
OTU001229	1	1.247819
OTU001230	1	1.380267
OTU001231	1	0.747394
OTU001232	1	1.309941
OTU001233	1	0.45478500000000005
OTU001234	4	0.626616
OTU001235	1	0.329549
OTU001236	1	0.468963
OTU001237	4	0.9275100000000001
OTU001238	1	0.461887
OTU001239	1	0.8338549999999999
OTU001240	3	0.7706930000000001
OTU001241	1	1.1945270000000001
OTU001242	2	1.5394450000000002
OTU001243	1	0.053111
OTU001244	2	0.091336
OTU001245	1	0.281141
OTU001246	1	1.7473459999999998
OTU001247	1	0.690702
OTU001248	4	0.42978
OTU001249	1	0.208308
OTU001250	4	0.615284
OTU001251	1	0.47185900000000003
OTU001252	4	0.8991129999999999
OTU001253	1	0.925692
OTU001254	1	0.365552
OTU001255	1	0.585765
OTU001256	1	1.185338
OTU001257	1	0.647397
OTU001258	1	0.615953
OTU001259	4	0.752417
OTU001260	4	0.371179
OTU001261	1	0.825542
OTU001262	1	0.339923
OTU001263	1	0.560897
OTU001264	1	0.7032
OTU001265	10	19.541007999999998
OTU001266	4	0.5749850000000001
OTU001267	4	0.05347999999999999
OTU001268	1	0.060764
OTU001269	7	0.033326999999999996
OTU001270	1	0.672276
OTU001271	1	0.42323999999999995
OTU001272	1	0.424629
OTU001273	1	0.819032
OTU001274	1	1.285908
OTU001275	1	0.5398470000000001
OTU001276	1	0.552284
OTU001277	1	0.7640359999999999
OTU001278	4	0.8492379999999999
OTU001279	6	0.9401079999999999
OTU001280	1	0.566803
OTU001281	1	1.021685
OTU001282	1	1.488003
OTU001283	4	0.6751189999999999
OTU001284	1	0.404483
OTU001285	1	1.120611
OTU001286	1	0.076055
OTU001287	1	1.386144
OTU001288	4	0.647192
OTU001289	4	0.770497
OTU001290	1	0.38448899999999997
OTU001291	2	0.696558
OTU001292	1	0.174853
OTU001293	1	0.561404
OTU001294	1	1.077834
OTU001295	2	0.9452459999999999
OTU001296	1	0.371502
OTU001297	1	0.799408
OTU001298	1	0.695142
OTU001299	1	0.174182
OTU001300	1	0.642487
OTU001301	4	0.8249790000000001
OTU001302	1	0.9534360000000001
OTU001303	1	1.114986
OTU001304	1	0.047385000000000004
OTU001305	2	0.744506
OTU001306	2	0.7865800000000001
OTU001307	1	0.086997
OTU001308	1	0.36546799999999996
OTU001309	4	0.793137
OTU001310	6	0.838933
OTU001311	1	0.512513
OTU001312	1	0.729128
OTU001313	1	0.981109
OTU001314	1	1.3990850000000001
OTU001315	4	0.854498
OTU001316	1	1.2546620000000002
OTU001317	1	0.799638
OTU001318	2	0.799878
OTU001319	4	0.7948890000000001
OTU001320	1	0.445338
OTU001321	1	0.8140069999999999
OTU001322	2	0.415551
OTU001323	1	0.186449
OTU001324	3	0.511727
OTU001325	1	0.254104
OTU001326	1	1.120487
OTU001327	1	0.857756
OTU001328	1	0.12075799999999999
OTU001329	4	0.424227
OTU001330	1	0.893301
OTU001331	2	0.21354
OTU001332	4	0.8955620000000001
OTU001333	1	1.241024
OTU001334	1	0.983074
OTU001335	1	0.16636099999999998
OTU001336	1	0.059061
OTU001337	1	1.422059
OTU001338	1	0.48887600000000003
OTU001339	1	1.264117
OTU001340	1	0.5255850000000001
OTU001341	1	0.6733180000000001
OTU001342	1	0.216207
OTU001343	1	0.518655
OTU001344	2	1.457881
OTU001345	1	0.893809
OTU001346	1	1.332791
OTU001347	2	1.557379
OTU001348	1	0.569915
OTU001349	1	1.297099
OTU001350	1	1.190854
OTU001351	1	0.092921
OTU001352	1	0.464197
OTU001353	1	0.5849260000000001
OTU001354	1	0.256871
OTU001355	2	0.677573
OTU001356	1	1.200699
OTU001357	1	0.979426
OTU001358	2	0.792455
OTU001359	1	1.294498
OTU001360	4	0.676376
OTU001361	1	0.305505
OTU001362	2	0.174734
OTU001363	3	0.930336
OTU001364	2	1.946843
OTU001365	1	0.758214
OTU001366	1	0.761246
OTU001367	1	0.387465
OTU001368	1	0.606911
OTU001369	1	1.446868
OTU001370	1	0.104493
OTU001371	2	1.310015
OTU001372	1	0.400435
OTU001373	2	1.345725
OTU001374	1	0.746877
OTU001375	1	0.244254
OTU001376	1	0.442985
OTU001377	1	1.208448
OTU001378	4	0.801207
OTU001379	4	0.961609
OTU001380	1	0.231238
OTU001381	4	0.315861
OTU001382	1	0.091736
OTU001383	4	0.347884
OTU001384	1	0.60034
OTU001385	1	1.15668
OTU001386	1	0.291498
OTU001387	1	0.7154149999999999
OTU001388	4	0.520613
OTU001389	1	0.44566400000000006
OTU001390	1	0.727524
OTU001391	1	0.27525900000000003
OTU001392	1	1.560043
OTU001393	2	0.463876
OTU001394	1	1.144285
OTU001395	4	0.345105
OTU001396	1	0.177015
OTU001397	1	1.72052
OTU001398	1	1.183295
OTU001399	1	1.1179370000000002
OTU001400	1	1.215064
OTU001401	1	1.06742
OTU001402	1	0.52913
OTU001403	1	0.219629
OTU001404	1	0.548592
OTU001405	1	0.193494
OTU001406	1	1.02029
OTU001407	1	1.05942
OTU001408	1	0.567188
OTU001409	1	0.123879
OTU001410	6	0.896216
OTU001411	1	0.844555
OTU001412	1	0.7661720000000001
OTU001413	2	1.093357
OTU001414	1	0.669748
OTU001415	1	1.017161
OTU001416	1	0.102274
OTU001417	2	0.23820100000000002
OTU001418	1	1.558376
OTU001419	1	0.265913
OTU001420	1	0.213817
OTU001421	1	2.2067240000000004
OTU001422	1	0.21364299999999997
OTU001423	1	0.6652600000000001
OTU001424	4	0.7041430000000001
OTU001425	1	0.281105
OTU001426	1	0.400035
OTU001427	2	0.133249
OTU001428	1	0.936443
OTU001429	1	0.408023
OTU001430	1	0.7817609999999999
OTU001431	1	2.014622
OTU001432	1	1.187975
OTU001433	1	0.726262
OTU001434	1	0.21335900000000002
OTU001435	1	0.8768100000000001
OTU001436	1	1.1054950000000001
OTU001437	2	0.689563
OTU001438	1	1.7347709999999998
OTU001439	1	0.41856400000000005
OTU001440	2	0.17019700000000001
OTU001441	1	0.906011
OTU001442	4	0.538075
OTU001443	1	0.6269779999999999
OTU001444	1	0.676484
OTU001445	4	0.919642
OTU001446	1	0.467315
OTU001447	2	0.376485
OTU001448	1	0.6017859999999999
OTU001449	1	0.475304
OTU001450	1	0.631452
OTU001451	1	1.496312
OTU001452	4	0.395431
OTU001453	2	1.4576040000000001
OTU001454	1	0.782434
OTU001455	4	0.14321199999999998
OTU001456	1	1.377409
OTU001457	1	1.5140719999999999
OTU001458	1	0.177264
OTU001459	1	0.575261
OTU001460	1	0.367686
OTU001461	1	0.632157
OTU001462	1	1.065583
OTU001463	4	0.30978
OTU001464	4	0.779647
OTU001465	1	0.436242
OTU001466	1	0.680686
OTU001467	4	0.482893
OTU001468	1	0.467391
OTU001469	1	1.267263
OTU001470	1	0.344831
OTU001471	1	0.902075
OTU001472	1	0.22124699999999997
OTU001473	1	0.672061
OTU001474	1	1.200919
OTU001475	1	0.826309
OTU001476	1	0.753678
OTU001477	4	0.859225
OTU001478	4	0.983933
OTU001479	4	0.676934
OTU001480	4	0.89238
OTU001481	1	0.565192
OTU001482	1	0.376105
OTU001483	1	1.100101
OTU001484	1	1.7855330000000003
OTU001485	4	0.40731300000000004
OTU001486	4	0.6461359999999999
OTU001487	2	1.4293770000000001
OTU001488	1	1.3098299999999998
OTU001489	2	0.497882
OTU001490	2	0.910723
OTU001491	2	1.044578
OTU001492	1	0.558653
OTU001493	1	0.18137899999999998
OTU001494	1	0.587497
OTU001495	1	1.1419700000000002
OTU001496	1	0.850951
OTU001497	1	1.345136
OTU001498	3	1.083641
OTU001499	1	0.324504
OTU001500	1	0.875561
OTU001501	1	0.570163
OTU001502	1	1.493749
OTU001503	1	0.12464700000000001
OTU001504	4	0.36838699999999996
OTU001505	4	0.97359
OTU001506	1	0.7064699999999999
OTU001507	1	0.9490700000000001
OTU001508	1	0.884244
OTU001509	1	0.686917
OTU001510	4	0.5385810000000001
OTU001511	1	1.129198
OTU001512	4	0.524587
OTU001513	4	0.628167
OTU001514	1	1.076545
OTU001515	1	1.0196690000000002
OTU001516	1	0.290122
OTU001517	1	0.80634
OTU001518	4	0.796646
OTU001519	2	1.037916
OTU001520	4	0.897812
OTU001521	1	0.9682430000000001
OTU001522	1	0.555787
OTU001523	2	1.322434
OTU001524	1	0.347238
OTU001525	4	0.551058
OTU001526	4	0.763584
OTU001527	4	1.236643
OTU001528	4	0.823498
OTU001529	2	0.505099
OTU001530	2	0.9079299999999999
OTU001531	1	1.282545
OTU001532	1	0.40807
OTU001533	1	0.217221
OTU001534	1	1.353705
OTU001535	2	0.7080989999999999
OTU001536	3	0.06865
OTU001537	1	0.58959
OTU001538	1	0.645303
OTU001539	1	0.713372
OTU001540	1	0.43824300000000005
OTU001541	4	0.67183
OTU001542	1	0.505259
OTU001543	10	5.176876999999999
OTU001544	1	0.39819099999999996
OTU001545	1	1.2562229999999999
OTU001546	1	1.053197
OTU001547	1	0.42676499999999995
OTU001548	1	0.76039
OTU001549	1	1.347121
OTU001550	1	1.103391
OTU001551	1	0.9264049999999999
OTU001552	1	0.250301
OTU001553	1	1.049567
OTU001554	1	0.395122
OTU001555	1	0.893809
OTU001556	1	0.893809
OTU001557	1	1.075552
OTU001558	10	2.427707
OTU001559	1	0.809331
OTU001560	1	0.8124279999999999
OTU001561	1	0.162212
OTU001562	1	0.63736
OTU001563	1	1.3062
OTU001564	1	0.6658729999999999
OTU001565	1	0.779547
OTU001566	1	0.537924
OTU001567	1	0.797904
OTU001568	2	0.13727999999999999
OTU001569	1	0.201469
OTU001570	1	0.578307
OTU001571	1	0.893809
OTU001572	1	0.908284
OTU001573	1	0.8065180000000001
OTU001574	2	0.282186
OTU001575	2	0.862065
OTU001576	1	0.788528
OTU001577	4	0.7378520000000001
OTU001578	1	0.493482
OTU001579	1	0.8766520000000001
OTU001580	1	0.391413
OTU001581	4	1.11049
OTU001582	1	0.8329469999999999
OTU001583	1	0.421196
OTU001584	1	0.35941
OTU001585	2	0.9477450000000001
OTU001586	1	0.544686
OTU001587	1	1.212648
OTU001588	1	1.413092
OTU001589	1	0.28383
OTU001590	1	0.612901
OTU001591	1	0.380859
OTU001592	1	1.4017549999999999
OTU001593	1	1.189172
OTU001594	3	0.577298
OTU001595	1	0.5191
OTU001596	4	0.379504
OTU001597	1	0.586939
OTU001598	1	1.112484
OTU001599	1	0.619595
OTU001600	2	1.093143
OTU001601	1	0.739337
OTU001602	1	0.684211
OTU001603	1	0.580064
OTU001604	1	0.915954
OTU001605	1	1.061921
OTU001606	1	0.428226
OTU001607	1	0.600905
OTU001608	4	0.57034
OTU001609	1	0.7513810000000001
OTU001610	1	0.53466
OTU001611	1	0.27172399999999997
OTU001612	1	0.366818
OTU001613	2	0.629927
OTU001614	1	0.27869
OTU001615	1	0.9343469999999999
OTU001616	1	0.591327
OTU001617	1	1.346411
OTU001618	4	0.730504
OTU001619	1	0.83037
OTU001620	1	0.6643180000000001
OTU001621	1	0.44414799999999993
OTU001622	2	1.573849
OTU001623	1	0.5103310000000001
OTU001624	1	0.8662620000000001
OTU001625	1	0.661576
OTU001626	1	0.382452
OTU001627	1	1.3913719999999998
OTU001628	1	0.264071
OTU001629	1	0.960965
OTU001630	1	0.85009
OTU001631	2	1.3518430000000001
OTU001632	1	0.698348
OTU001633	1	0.784701
OTU001634	1	0.12328
OTU001635	1	0.9566549999999999
OTU001636	1	1.22787
OTU001637	1	0.672663
OTU001638	1	0.716086
OTU001639	1	0.6142850000000001
OTU001640	1	0.553315
OTU001641	3	0.031494
OTU001642	1	1.3576549999999998
OTU001643	2	1.51994
OTU001644	1	0.056826999999999996
OTU001645	1	0.8854799999999999
OTU001646	1	0.61234
OTU001647	1	0.352526
OTU001648	1	0.537523
OTU001649	1	1.357855
OTU001650	1	0.479141
OTU001651	1	0.45808000000000004
OTU001652	1	0.536378
OTU001653	1	0.5329510000000001
OTU001654	1	0.7399319999999999
OTU001655	2	0.817304
OTU001656	1	0.359693
OTU001657	1	0.400163
OTU001658	4	0.458527
OTU001659	4	0.6464880000000001
OTU001660	1	0.612845
OTU001661	2	0.254714
OTU001662	1	0.6043109999999999
OTU001663	1	0.882232
OTU001664	1	0.42622299999999996
OTU001665	1	0.521676
OTU001666	4	0.73121
OTU001667	1	0.382326
OTU001668	1	0.467963
OTU001669	7	0.44647700000000007
OTU001670	1	0.521522
OTU001671	1	0.6723279999999999
OTU001672	1	1.055868
OTU001673	1	0.607997
OTU001674	4	0.596514
OTU001675	1	0.155177
OTU001676	1	0.62093
OTU001677	2	1.5190190000000001
OTU001678	1	1.46977
OTU001679	1	0.838368
OTU001680	1	0.7116
OTU001681	1	0.7366699999999999
OTU001682	2	0.357104
OTU001683	1	1.27045
OTU001684	2	0.945208
OTU001685	4	0.521037
OTU001686	1	1.162574
OTU001687	4	0.65786
OTU001688	1	0.35504600000000003
OTU001689	1	0.675863
OTU001690	1	0.765555
OTU001691	1	0.487734
OTU001692	1	0.893809
OTU001693	1	0.209875
OTU001694	2	1.377145
OTU001695	1	1.276949
OTU001696	1	0.8897010000000001
OTU001697	1	0.742294
OTU001698	1	0.6314390000000001
OTU001699	1	1.1400430000000001
OTU001700	1	0.44688100000000003
OTU001701	1	1.147258
OTU001702	1	0.6453300000000001
OTU001703	4	0.9506180000000001
OTU001704	1	0.329554
OTU001705	1	0.270082
OTU001706	1	1.2308709999999998
OTU001707	2	0.233486
OTU001708	3	0.43284399999999995
OTU001709	1	0.477685
OTU001710	1	1.404731
OTU001711	4	0.501371
OTU001712	1	1.175481
OTU001713	3	0.30275100000000005
OTU001714	1	0.9470629999999999
OTU001715	1	1.337967
OTU001716	2	0.090735
OTU001717	1	0.802968
OTU001718	1	0.717811
OTU001719	1	0.846858
OTU001720	4	0.609232
OTU001721	1	0.329789
OTU001722	1	0.46869799999999995
OTU001723	1	0.5760000000000001
OTU001724	1	0.388635
OTU001725	4	0.631523
OTU001726	1	1.19359
OTU001727	1	0.20656
OTU001728	1	0.8966299999999999
OTU001729	6	0.8015770000000001
OTU001730	1	0.953644
OTU001731	4	1.000766
OTU001732	1	1.165684
OTU001733	1	0.7353
OTU001734	1	0.5167470000000001
OTU001735	1	0.46336700000000003
OTU001736	1	0.76155
OTU001737	1	1.391746
OTU001738	1	0.687405
OTU001739	1	0.562864
OTU001740	1	0.761455
OTU001741	1	1.110121
OTU001742	1	0.422318
OTU001743	1	0.382175
OTU001744	2	0.8521860000000001
OTU001745	1	0.618522
OTU001746	2	0.480939
OTU001747	1	0.723766
OTU001748	1	0.52517
OTU001749	4	0.260847
OTU001750	1	0.347223
OTU001751	1	0.45261599999999996
OTU001752	1	0.9230299999999999
OTU001753	1	0.25774600000000003
OTU001754	6	1.10084
OTU001755	1	1.170185
OTU001756	1	1.163384
OTU001757	1	0.726237
OTU001758	1	0.377434
OTU001759	1	0.777159
OTU001760	1	0.503846
OTU001761	1	0.6073970000000001
OTU001762	1	1.0826
OTU001763	4	0.694846
OTU001764	3	0.68948
OTU001765	1	0.333813
OTU001766	2	1.0500129999999999
OTU001767	1	0.9692709999999999
OTU001768	1	1.0415889999999999
OTU001769	1	1.260182
OTU001770	1	0.299668
OTU001771	1	0.15905
OTU001772	1	0.834169
OTU001773	1	0.505418
OTU001774	1	0.08482
OTU001775	1	1.2409999999999999
OTU001776	4	0.487412
OTU001777	4	0.520073
OTU001778	1	1.351016
OTU001779	1	0.441222
OTU001780	1	0.843192
OTU001781	1	0.7607649999999999
OTU001782	1	0.353921
OTU001783	1	0.8429979999999999
OTU001784	1	0.571836
OTU001785	1	1.188056
OTU001786	1	0.954142
OTU001787	2	0.722617
OTU001788	1	0.456061
OTU001789	1	1.108842
OTU001790	1	1.1544809999999999
OTU001791	1	0.962082
OTU001792	1	0.9397549999999999
OTU001793	1	0.46091099999999996
OTU001794	1	0.516837
OTU001795	1	0.602061
OTU001796	1	0.27421799999999996
OTU001797	1	1.028434
OTU001798	1	0.91745
OTU001799	1	0.43742600000000004
OTU001800	1	0.6198130000000001
OTU001801	1	0.35828699999999997
OTU001802	1	0.86871
OTU001803	1	1.008361
OTU001804	1	0.9481790000000001
OTU001805	4	0.749763
OTU001806	4	0.701796
OTU001807	1	0.5315479999999999
OTU001808	1	0.610687
OTU001809	4	0.7120810000000001
OTU001810	1	0.211288
OTU001811	1	0.519651
OTU001812	1	1.277401
OTU001813	1	0.6031979999999999
OTU001814	1	0.8943629999999999
OTU001815	1	0.372213
OTU001816	1	1.4339899999999999
OTU001817	1	1.27281
OTU001818	1	0.32977199999999995
OTU001819	1	0.575279
OTU001820	1	0.754038
OTU001821	1	0.750289
OTU001822	4	0.237697
OTU001823	1	0.8011560000000001
OTU001824	4	0.655678
OTU001825	1	1.702302
OTU001826	1	0.871492
OTU001827	1	1.302378
OTU001828	4	0.773324
OTU001829	1	0.13410999999999998
OTU001830	1	0.566239
OTU001831	1	0.745699
OTU001832	4	0.9593860000000001
OTU001833	1	0.25301599999999996
OTU001834	2	1.578699
OTU001835	1	0.513138
OTU001836	1	1.350842
OTU001837	4	0.581916
OTU001838	1	0.402487
OTU001839	1	0.406219
OTU001840	1	0.296356
OTU001841	1	0.46756499999999995
OTU001842	1	0.868657
OTU001843	1	0.548841
OTU001844	1	1.100114
OTU001845	1	0.7102569999999999
OTU001846	1	1.068475
OTU001847	1	0.604362
OTU001848	1	0.788503
OTU001849	1	1.051968
OTU001850	1	1.056932
OTU001851	1	1.3153700000000002
OTU001852	4	0.765833
OTU001853	1	1.711122
OTU001854	1	0.20620700000000003
OTU001855	1	0.501333
OTU001856	1	0.710066
OTU001857	1	0.464426
OTU001858	1	0.860965
OTU001859	1	0.519878
OTU001860	4	0.642792
OTU001861	1	1.419275
OTU001862	1	0.672285
OTU001863	1	0.8637309999999999
OTU001864	1	0.814361
OTU001865	1	0.9895790000000001
OTU001866	1	0.5031939999999999
OTU001867	1	1.1003040000000002
OTU001868	1	0.5471630000000001
OTU001869	4	0.66188
OTU001870	1	1.1631719999999999
OTU001871	1	0.163108
OTU001872	1	0.243274
OTU001873	1	0.617768
OTU001874	1	1.156077
OTU001875	1	0.582619
OTU001876	4	0.550146
OTU001877	1	0.848067
OTU001878	1	1.006314
OTU001879	4	0.700874
OTU001880	1	0.46401499999999996
OTU001881	1	1.1642219999999999
OTU001882	1	0.23063899999999998
OTU001883	1	0.35588800000000004
OTU001884	1	1.601625
OTU001885	3	0.750687
OTU001886	1	0.560006
OTU001887	1	0.99879
OTU001888	4	0.728522
OTU001889	1	0.876978
OTU001890	1	0.48908599999999997
OTU001891	1	1.385786
OTU001892	1	1.482477
OTU001893	1	0.19914500000000002
OTU001894	6	0.755182
OTU001895	4	0.9098280000000001
OTU001896	1	0.48102799999999996
OTU001897	1	0.641466
OTU001898	1	0.245285
OTU001899	1	0.362141
OTU001900	1	0.364516
OTU001901	1	0.7436619999999999
OTU001902	1	0.592621
OTU001903	1	1.098615
OTU001904	1	1.190244
OTU001905	1	0.455798
OTU001906	4	0.738712
OTU001907	1	0.579982
OTU001908	1	1.268285
OTU001909	1	0.17977200000000002
OTU001910	1	0.465365
OTU001911	4	0.26054299999999997
OTU001912	4	0.70135
OTU001913	1	0.9195409999999999
OTU001914	1	0.803747
OTU001915	1	0.382641
OTU001916	1	0.7648510000000001
OTU001917	1	0.8826799999999999
OTU001918	1	0.748239
OTU001919	1	1.089796
OTU001920	1	0.41490299999999997
OTU001921	1	0.2419
OTU001922	1	1.405508
OTU001923	2	0.659327
OTU001924	4	1.0024899999999999
OTU001925	1	0.8778879999999999
OTU001926	1	0.400561
OTU001927	1	1.2753809999999999
OTU001928	2	1.7077419999999999
OTU001929	4	0.9251510000000001
OTU001930	1	1.3857190000000001
OTU001931	1	0.5334939999999999
OTU001932	1	1.035244
OTU001933	4	0.541133
OTU001934	1	0.782053
OTU001935	1	0.43221899999999996
OTU001936	1	1.1548100000000001
OTU001937	4	1.025254
OTU001938	1	0.6095470000000001
OTU001939	1	0.908783
OTU001940	1	0.289904
OTU001941	1	0.759231
OTU001942	2	1.077174
OTU001943	1	0.496791
OTU001944	1	1.317882
OTU001945	1	0.624671
OTU001946	3	0.551229
OTU001947	2	1.1543219999999998
OTU001948	1	1.424743
OTU001949	1	1.114611
OTU001950	2	0.768166
OTU001951	1	0.46767299999999995
OTU001952	1	0.3468
OTU001953	1	0.9364319999999999
OTU001954	2	0.612871
OTU001955	1	0.7846850000000001
OTU001956	4	0.7658689999999999
OTU001957	2	0.5727909999999999
OTU001958	1	0.8468459999999999
OTU001959	2	1.602739
OTU001960	1	1.3722729999999999
OTU001961	1	0.730759
OTU001962	1	0.8709049999999999
OTU001963	1	0.380685
OTU001964	1	1.6576380000000002
OTU001965	1	1.148079
OTU001966	1	0.548242
OTU001967	1	1.370201
OTU001968	1	0.4372
OTU001969	1	1.330243
OTU001970	1	1.813405
OTU001971	1	0.556864
OTU001972	1	0.23156300000000002
OTU001973	4	0.44678100000000004
OTU001974	1	0.44625
